iter	Passed	Remaining
0	0	72
1	2	105
2	3	117
3	4	112
4	5	99
5	6	95
6	7	103
7	9	114
8	11	118
9	13	119
10	14	119
11	15	117
12	16	110
13	17	108
14	19	108
15	20	106
16	21	104
17	23	108
18	25	108
19	27	108
20	29	110
21	30	109
22	32	108
23	33	105
24	34	104
25	35	102
26	36	99
27	37	97
28	38	95
29	39	92
30	40	90
31	41	88
32	42	86
33	43	83
34	43	81
35	44	79
36	45	77
37	45	75
38	46	72
39	47	70
40	47	68
41	47	66
42	48	64
43	48	62
44	49	60
45	50	58
46	50	57
47	51	55
48	51	53
49	52	52
50	52	50
51	53	49
52	53	47
53	54	46
54	54	44
55	55	43
56	55	42
57	56	40
58	56	39
59	57	38
60	57	37
61	58	35
62	58	34
63	59	33
64	59	32
65	60	31
66	60	29
67	61	28
68	61	27
69	62	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	65	20
76	66	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	69	14
83	69	13
84	70	12
85	70	11
86	71	10
87	71	9
88	72	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	76	2
97	77	1
98	77	0
99	78	0
